Year,YearCode,Gender,GenderCode,Race,RaceCode,State,StateCode,TenYearAgeGroups,TenYearAgeGroupsCode,Deaths,Population,CrudeRate
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Arizona,4,55-64 years,55-64,25,8061,310.1
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Oklahoma,40,55-64 years,55-64,25,10533,237.3
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Arizona,4,65-74 years,65-74,32,5100,627.5
1999,1999,Female,F,American Indian or Alaska Native,1002-5,California,6,65-74 years,65-74,28,7684,364.4
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Oklahoma,40,65-74 years,65-74,43,6982,615.9
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Alaska,2,75-84 years,75-84,29,901,3218.6
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Arizona,4,75-84 years,75-84,42,2357,1781.9
1999,1999,Female,F,American Indian or Alaska Native,1002-5,California,6,75-84 years,75-84,34,3910,869.6
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Michigan,26,75-84 years,75-84,21,639,3286.4
1999,1999,Female,F,American Indian or Alaska Native,1002-5,New Mexico,35,75-84 years,75-84,24,1650,1454.5
1999,1999,Female,F,American Indian or Alaska Native,1002-5,North Carolina,37,75-84 years,75-84,35,1309,2673.8
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Oklahoma,40,75-84 years,75-84,69,4105,1680.9
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Washington,53,75-84 years,75-84,20,813,2460
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Arizona,4,85+ years,85+,37,886,4176.1
1999,1999,Female,F,American Indian or Alaska Native,1002-5,California,6,85+ years,85+,48,1248,3846.2
1999,1999,Female,F,American Indian or Alaska Native,1002-5,New Mexico,35,85+ years,85+,30,714,4201.7
1999,1999,Female,F,American Indian or Alaska Native,1002-5,North Carolina,37,85+ years,85+,30,344,8720.9
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Oklahoma,40,85+ years,85+,95,1453,6538.2
1999,1999,Female,F,American Indian or Alaska Native,1002-5,Washington,53,85+ years,85+,22,223,9865.5
1999,1999,Female,F,Asian or Pacific Islander,A-PI,California,6,35-44 years,35-44,35,360822,9.7
1999,1999,Female,F,Asian or Pacific Islander,A-PI,California,6,45-54 years,45-54,115,284842,40.4
1999,1999,Female,F,Asian or Pacific Islander,A-PI,Hawaii,15,45-54 years,45-54,47,55362,84.9
1999,1999,Female,F,Asian or Pacific Islander,A-PI,California,6,55-64 years,55-64,195,163350,119.4
1999,1999,Female,F,Asian or Pacific Islander,A-PI,Hawaii,15,55-64 years,55-64,93,37853,245.7
1999,1999,Female,F,Asian or Pacific Islander,A-PI,Illinois,17,55-64 years,55-64,21,17544,119.7
1999,1999,Female,F,Asian or Pacific Islander,A-PI,New York,36,55-64 years,55-64,37,42297,87.5
1999,1999,Female,F,Asian or Pacific Islander,A-PI,Washington,53,55-64 years,55-64,22,14163,155.3
1999,1999,Female,F,Asian or Pacific Islander,A-PI,California,6,65-74 years,65-74,511,126109,405.2
1999,1999,Female,F,Asian or Pacific Islander,A-PI,Florida,12,65-74 years,65-74,22,7221,304.7
1999,1999,Female,F,Asian or Pacific Islander,A-PI,Hawaii,15,65-74 years,65-74,178,36436,488.5
1999,1999,Female,F,Asian or Pacific Islander,A-PI,Illinois,17,65-74 years,65-74,30,9468,316.9
1999,1999,Female,F,Asian or Pacific Islander,A-PI,New Jersey,34,65-74 years,65-74,27,9732,277.4
1999,1999,Female,F,Asian or Pacific Islander,A-PI,New York,36,65-74 years,65-74,102,25446,400.8
1999,1999,Female,F,Asian or Pacific Islander,A-PI,Texas,48,65-74 years,65-74,37,10614,348.6
1999,1999,Female,F,Asian or Pacific Islander,A-PI,Washington,53,65-74 years,65-74,37,9981,370.7
